feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,target
0.0,0.0,3.0,4.0,3.0,1.065963719731826,0.01783225452975753,-0.596183868845102,1.840712330849497,-1.4970928966436117,-1.202671507771992,-0.6039675144875425,2.8992558245414797,0.03756685870725232,-1.2495228835952368,0.2579626921992146,0.41662771515222263,,-1.838040660792271,-0.8331415233289663,1
0.0,4.0,3.0,1.0,1.0,-0.49736953314026283,0.7145497614635058,0.9388833153720996,-2.3951693175130337,0.15983675761088956,0.13394188295201317,1.4614990827553758,3.954171247752467,0.3090544381042879,0.5381840760606269,-7.157864698637344,-4.53221590306436,-0.08179955347087065,-9.32536185307987,0.574386351133876,1
3.0,0.0,4.0,2.0,3.0,0.7172635437832151,-0.8593992108172007,-1.0421902149213798,-2.1759651635015973,0.9802308398956829,1.4985463606698537,0.5444338239034117,-2.4662579537560165,-0.47025571626635737,,-2.2035313023963923,-2.2992625816341477,,-0.27157945768521913,-0.35928530430641653,0
3.0,3.0,0.0,4.0,0.0,-0.43852450560498196,0.28194887380905115,2.3451447234710336,1.0062296174473873,0.3891351807136445,0.238566126142076,-1.0250508969745709,-2.422974575925319,1.5798069574015499,-0.30071336372092894,4.26712005055261,2.8937751374064606,1.2366972773578149,6.034785453185585,-0.045710754645827495,0
0.0,2.0,2.0,1.0,4.0,0.45963731807481595,,-1.143504812546336,1.2639372826816937,-2.0409277704847444,0.6756644532569765,4.176423682994823,1.3417423270599946,0.1335654155359782,1.7438193310994725,1.5311883051385262,2.2698079978592083,0.05348895364493855,-3.151109495759724,1.6037018554669304,0
2.0,4.0,4.0,0.0,1.0,-0.5927992331786469,-0.023393960243946223,-2.167271609528518,2.0169566462332233,-1.7056691667740158,-1.1013266287697099,-3.2688300227665037,2.7735566480245173,-2.382762352073065,2.712425693014858,5.901930997231913,0.09122446799216166,-0.11674086645336967,-1.1300364066956607,-0.48016958420723416,0
2.0,4.0,2.0,3.0,3.0,-0.09427271723096599,0.18146106348063867,-0.10164087439060698,-4.912844527884812,-1.8108071286290333,0.039569724133648135,-0.3151095819950902,-9.946681004577195,-1.3135277983539944,1.1654448173413745,,6.3902533300564865,-3.850770458644704,-1.7445995625031558,-0.1439999777016611,0
3.0,3.0,2.0,0.0,1.0,1.5301856237965608,-0.6421271738316033,-0.06769559501269273,-0.6854015595354916,0.04367034558241434,0.4021978249123513,-0.7786012488484919,1.7410812918289207,-2.0265777765994355,1.8232217637194612,-0.9504233532317288,-0.3423473503005896,-0.4480393645606725,-0.5265758114826407,-0.3146014474420489,0
4.0,2.0,4.0,0.0,1.0,0.6098125198747528,0.3777117601138336,-1.9230505589179563,1.4618399863144693,-2.775015095393859,1.3429563316312263,-1.9078776407900027,4.567854008957711,1.7533751987243156,2.755434697733712,3.2685774471642888,2.9795803223341695,1.8490945003339943,1.3125683142544,-1.3180920357955057,0
0.0,4.0,2.0,0.0,0.0,0.7082662196573998,0.7756752996156893,-0.6357831132257853,-0.3949445487877058,0.37393057689764797,0.011369908798494166,1.4751547945540044,-0.2924346816507805,1.889282454250252,-0.43185659398785514,-3.6928688146047235,-1.2131369147447386,-1.8054129293123604,-2.9380121827915655,0.7834656483247346,0
